sl_no,name,launch_date,launch_vehicle,orbit_type,application,remarks,details_url,description,update_summary,launch_pad,satellite,navic_context,pdf_brochure_url
131,EOS-09,"May 18, 2025",PSLV-C61/EOS-09 Mission,,,Not accomplished,,,,,,,
130,NVS-02,"Jan 29, 2025",GSLV-F15/NVS-02 MISSION,GTO (Geosynchronous Transfer Orbit),Navigation,,https://www.isro.gov.in/GSLV-F15_NVS-02_Mission.html,"January 24, 2025
GSLV-F15 is the 17thflight of India’s Geosynchronous Satellite Launch Vehicle (GSLV)
                        and 11thflight with Indigenous Cryo stage.It is the 8thoperational
                        flight of GSLV with an indigenous Cryogenic stage and 100thLaunch from the India’s
                        Spaceport Sriharikota.GSLV-F15 payload fairing is a metallic version with a diameter of 3.4
                        meters.
ISRO is preparing for its landmark 100thlaunch from Sriharikota. GSLV F15 will lift-off from
                        the second launch pad at 06:23 hrs on January 29, 2025, carrying the NVS-02 navigation satellite.
                        This will be the 100thlaunch to lift-off from Sriharikota. Over a span of 99 launches, various
                        missions have been carried out from Sriharikota.Click here for the details of the 99 missionsPDF - 204 KB
The GSLV-F15 with indigenous Cryogenic stage will place NVS-02 satellite
                        into a Geosynchronous Transfer Orbit & the launch will take place from the Second Launch Pad
                        (SLP) at Satish Dhawan Space Centre, SHAR.
Navigation with Indian Constellation (NavIC) is India's independent regional
                    navigation satellite system designed to provide accurate Position, Velocity and Timing (PVT) service
                    to users in India as well as to region extending about 1500 km beyond Indian land mass.
NavIC will provide two types of services, namely, Standard Positioning Service
                    (SPS) and Restricted Service (RS). NavIC's SPS provides a position accuracy of better than 20 m (2σ)
                    and timing accuracy better than 40 ns (2σ) over the service area.
ISRO successfully completed a century in the launches from its spaceport at Sriharikota on January 29, 2025 with the 17thlaunch of GSLV. In this mission NVS-02 navigation satellite was successfully injected into the intended Geosynchronous Transfer Orbit. All the launch vehicle stages performed flawlessly and the orbit was achieved with a high degree of precision.
Subsequent to the launch, the solar panels on board the satellite were successfully deployed and power generation is nominal. Communication with the ground station has been established. But the orbit raising operations towards positioning the satellite to the designated orbital slot could not be carried out as the valves for admitting the oxidizer to fire the thrusters for orbit raising did not open.
The satellite systems are healthy and the satellite is currently in elliptical orbit. Alternate mission strategies for utilising the satellite for navigation in an elliptical orbit is being worked out.","ISRO successfully completed a century in the launches from its spaceport at Sriharikota on January 29, 2025 with the 17th launch of GSLV. In this mission NVS-02 navigation satellite was successfully injected into the intended Geosynchronous Transfer Orbit. All the launch vehicle stages performed flawlessly and the orbit was achieved with a high degree of precision.
Subsequent to the launch, the solar panels on board the satellite were successfully deployed and power generation is nominal. Communication with the ground station has been established. But the orbit raising operations towards positioning the satellite to the designated orbital slot could not be carried out as the valves for admitting the oxidizer to fire the thrusters for orbit raising did not open.
The satellite systems are healthy and the satellite is currently in elliptical orbit. Alternate mission strategies for utilising the satellite for navigation in an elliptical orbit is being worked out.","ISRO is preparing for its landmark 100th launch from Sriharikota. GSLV F15 will lift-off from
                        the second launch pad at 06:23 hrs on January 29, 2025, carrying the NVS-02 navigation satellite.
                        This will be the 100th launch to lift-off from Sriharikota. Over a span of 99 launches, various
                        missions have been carried out from Sriharikota.
                        
Click here for the details of the 99 missions 
                            PDF - 204 KB",NVS-02,"Navigation with Indian Constellation (NavIC) is India's independent regional
                    navigation satellite system designed to provide accurate Position, Velocity and Timing (PVT) service
                    to users in India as well as to region extending about 1500 km beyond Indian land mass. NavIC will provide two types of services, namely, Standard Positioning Service
                    (SPS) and Restricted Service (RS). NavIC's SPS provides a position accuracy of better than 20 m (2σ)
                    and timing accuracy better than 40 ns (2σ) over the service area.",https://www.isro.gov.in/media_isro/pdf/GSLVF15/GSLV-F15_NVS-02_EngBrochure240125.pdf
129,SPADEX-A,"Dec 30, 2024",PSLV C60/SPADEX Mission,,,,https://www.isro.gov.in/mission_SpaDeX.html,"December 21, 2024
SpaDeX mission is a cost-effective technology demonstrator mission for the demonstration of in-space
                    docking using two small spacecraft launched by PSLV. This technology is essential for India's space
                    ambitions such as Indian on Moon, sample return from the Moon, the building and operation of
                    Bharatiya Antariksh Station (BAS), etc. In-space docking technology is essential when multiple
                    rocket launches are required to achieve common mission objectives. Through this mission, India is
                    marching towards becoming the fourth country in the world to have space docking technology.
The primary objective of the SpaDeX mission is to develop and demonstrate the technology needed for
                    rendezvous, docking, and undocking of two small spacecraft (SDX01, which is the Chaser, and SDX02,
                    the Target, nominally) in a low-Earth circular orbit. Secondary objectives include:
The SpaDeX mission consists of two small spacecraft (about 220 kg each) to be launched by PSLV-C60,
                    independently and simultaneously, into a 470 km circular orbit at 55° inclination, with a local time
                    cycle of about 66 days. The demonstrated precision of the PSLV vehicle will be utilized to give a
                    small relative velocity between the Target and Chaser spacecraft at the time of separation from the
                    launch vehicle. This incremental velocity will allow the Target spacecraft to build a 10-20 km
                    inter-satellite separation with respect to the Chaser within a day. At this point, the relative
                    velocity between the Target will be compensated using the propulsion system of the Target
                    spacecraft.
At the end of this drift arrest maneuver, the Target and Chaser will be in the same orbit with
                    identical velocity but separated by about 20 km, known as Far Rendezvous. With a similar strategy of
                    introducing and then compensating for a small relative velocity between the two spacecraft, the
                    Chaser will approach the Target with progressively reduced inter-satellite distances of 5 km, 1.5
                    km, 500 m, 225 m, 15 m, and 3 m, ultimately leading to the docking of the two spacecraft. After
                    successful docking and rigidization, electrical power transfer between the two satellites will be
                    demonstrated before undocking and separation of the two satellites to start the operation of their
                    respective payloads for the expected mission life of up to two years.
The indigenous technologies developed for enabling this docking mission are as follows:
In addition, SpaDeX, because of its small size and mass, is even more challenging due to the finer
                    precision required for the rendezvous and docking maneuvers compared to docking two large
                    spacecraft. This mission will be a forerunner for autonomous docking needed for future lunar
                    missions like Chandrayaan-4 without the support of GNSS from Earth.
The docking mechanism is a low-impact docking system (approach velocity is in the order of 10 mm/s),
                    androgynous (docking systems are identical for both spacecraft, Chaser & Target), and is a
                    peripheral docking system (concept similar to the International Docking System Standard used by
                    other agencies for human missions). The mechanism is smaller (450 mm) with one degree of freedom for
                    extension and uses two motors compared to the IDSS (800 mm) on a hexapod with 24 motors. Multiple
                    test beds were established to test the hardware and software simulation of the docking kinematics to
                    verify and finalise the docking approach parameters.
The additional sensor suite in this mission includes Laser Range Finder (LRF) and Corner Cube Retro
                    Reflectors to work for a range of 6000 to 200 m for determining range (R). The set of Rendezvous
                    Sensors (RS) is used in the range of 2000 to 250 m and from 250-10 m. RS provides the relative
                    position (x, y, z) while LRF determines both relative position and velocity independently.
Proximity and Docking Sensor (PDS) provides relative position and velocity over a range of 30 m to
                    0.4 m. Laser Diodes (LDs) are used as targets for RS & PDS. A video monitor is used in the 20 to 0.5
                    m range and it will capture the video of the docking event. A Mechanism Entry Sensor (MES) is used
                    from 8 cm to 4 cm to detect chaser entry into the target spacecraft during docking. Multiple test
                    beds were used to calibrate and validate these sensors before accepting them for the mission.
Like all ISRO satellites in low-Earth orbit, both the SpaDeX spacecraft carry a differential
                    GNSS-based Satellite Positioning System (SPS), which provides PNT (Position, Navigation, and Timing)
                    solutions for the satellites. In SpaDeX, a novel RODP processor is included in the SPS receiver,
                    which allows accurate determination of the relative position and velocity of the Chaser and the
                    Target. By subtracting the carrier phase measurements from the same GNSS satellites in both Chaser
                    and Target SPS receivers, highly accurate relative states of the two satellites are determined. The
                    VHF/UHF transceivers in both satellites aid this process by transferring the GNSS satellite
                    measurements from one satellite to the other. Hardware and software test beds, including closed-loop
                    verifications, were carried out to characterise the RODP performance.
Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.","Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.",,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC60/PSLVC60-mission-brochure-english.pdf
128,SPADEX-B,"Dec 30, 2024",PSLV C60/SPADEX Mission,,,,https://www.isro.gov.in/mission_SpaDeX.html,"December 21, 2024
SpaDeX mission is a cost-effective technology demonstrator mission for the demonstration of in-space
                    docking using two small spacecraft launched by PSLV. This technology is essential for India's space
                    ambitions such as Indian on Moon, sample return from the Moon, the building and operation of
                    Bharatiya Antariksh Station (BAS), etc. In-space docking technology is essential when multiple
                    rocket launches are required to achieve common mission objectives. Through this mission, India is
                    marching towards becoming the fourth country in the world to have space docking technology.
The primary objective of the SpaDeX mission is to develop and demonstrate the technology needed for
                    rendezvous, docking, and undocking of two small spacecraft (SDX01, which is the Chaser, and SDX02,
                    the Target, nominally) in a low-Earth circular orbit. Secondary objectives include:
The SpaDeX mission consists of two small spacecraft (about 220 kg each) to be launched by PSLV-C60,
                    independently and simultaneously, into a 470 km circular orbit at 55° inclination, with a local time
                    cycle of about 66 days. The demonstrated precision of the PSLV vehicle will be utilized to give a
                    small relative velocity between the Target and Chaser spacecraft at the time of separation from the
                    launch vehicle. This incremental velocity will allow the Target spacecraft to build a 10-20 km
                    inter-satellite separation with respect to the Chaser within a day. At this point, the relative
                    velocity between the Target will be compensated using the propulsion system of the Target
                    spacecraft.
At the end of this drift arrest maneuver, the Target and Chaser will be in the same orbit with
                    identical velocity but separated by about 20 km, known as Far Rendezvous. With a similar strategy of
                    introducing and then compensating for a small relative velocity between the two spacecraft, the
                    Chaser will approach the Target with progressively reduced inter-satellite distances of 5 km, 1.5
                    km, 500 m, 225 m, 15 m, and 3 m, ultimately leading to the docking of the two spacecraft. After
                    successful docking and rigidization, electrical power transfer between the two satellites will be
                    demonstrated before undocking and separation of the two satellites to start the operation of their
                    respective payloads for the expected mission life of up to two years.
The indigenous technologies developed for enabling this docking mission are as follows:
In addition, SpaDeX, because of its small size and mass, is even more challenging due to the finer
                    precision required for the rendezvous and docking maneuvers compared to docking two large
                    spacecraft. This mission will be a forerunner for autonomous docking needed for future lunar
                    missions like Chandrayaan-4 without the support of GNSS from Earth.
The docking mechanism is a low-impact docking system (approach velocity is in the order of 10 mm/s),
                    androgynous (docking systems are identical for both spacecraft, Chaser & Target), and is a
                    peripheral docking system (concept similar to the International Docking System Standard used by
                    other agencies for human missions). The mechanism is smaller (450 mm) with one degree of freedom for
                    extension and uses two motors compared to the IDSS (800 mm) on a hexapod with 24 motors. Multiple
                    test beds were established to test the hardware and software simulation of the docking kinematics to
                    verify and finalise the docking approach parameters.
The additional sensor suite in this mission includes Laser Range Finder (LRF) and Corner Cube Retro
                    Reflectors to work for a range of 6000 to 200 m for determining range (R). The set of Rendezvous
                    Sensors (RS) is used in the range of 2000 to 250 m and from 250-10 m. RS provides the relative
                    position (x, y, z) while LRF determines both relative position and velocity independently.
Proximity and Docking Sensor (PDS) provides relative position and velocity over a range of 30 m to
                    0.4 m. Laser Diodes (LDs) are used as targets for RS & PDS. A video monitor is used in the 20 to 0.5
                    m range and it will capture the video of the docking event. A Mechanism Entry Sensor (MES) is used
                    from 8 cm to 4 cm to detect chaser entry into the target spacecraft during docking. Multiple test
                    beds were used to calibrate and validate these sensors before accepting them for the mission.
Like all ISRO satellites in low-Earth orbit, both the SpaDeX spacecraft carry a differential
                    GNSS-based Satellite Positioning System (SPS), which provides PNT (Position, Navigation, and Timing)
                    solutions for the satellites. In SpaDeX, a novel RODP processor is included in the SPS receiver,
                    which allows accurate determination of the relative position and velocity of the Chaser and the
                    Target. By subtracting the carrier phase measurements from the same GNSS satellites in both Chaser
                    and Target SPS receivers, highly accurate relative states of the two satellites are determined. The
                    VHF/UHF transceivers in both satellites aid this process by transferring the GNSS satellite
                    measurements from one satellite to the other. Hardware and software test beds, including closed-loop
                    verifications, were carried out to characterise the RODP performance.
Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.","Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.",,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC60/PSLVC60-mission-brochure-english.pdf
127,Proba-3,"Dec 05, 2024",PSLV-C59/Proba-3 Mission,,,,https://www.isro.gov.in/PSLV_C59_PROBA-3_Mission.html,"December 02, 2024
PSLV-C59 vehicle carried Proba-3 spacecraft into a highly elliptical orbit as a Dedicated commercial mission of NewSpace India Limited (NSIL) on December 05, 2024 at 16:04 Hrs.
Proba-3 is an In-Orbit Demonstration (IOD) mission of the European Space Agency. The mission goal is to demonstrate precise formation flying. It consists of 2 spacecrafts viz. the Coronagraph Spacecraft (CSC) and the Occulter Spacecraft (OSC) and it will be launched together in a stacked configuration. Launch is planned from First Launch Pad (FLP), Satish Dhawan Space Centre (SDSC-SHAR), Sriharikota.
PSLV-C59 Vehicle Characteristics","PSLV-C59 vehicle carried Proba-3 spacecraft into a highly elliptical orbit as a Dedicated commercial mission of NewSpace India Limited (NSIL) on December 05, 2024 at 16:04 Hrs.
Proba-3 is an In-Orbit Demonstration (IOD) mission of the European Space Agency. The mission goal is to demonstrate precise formation flying. It consists of 2 spacecrafts viz. the Coronagraph Spacecraft (CSC) and the Occulter Spacecraft (OSC) and it will be launched together in a stacked configuration. Launch is planned from First Launch Pad (FLP), Satish Dhawan Space Centre (SDSC-SHAR), Sriharikota.
PSLV-C59 Vehicle Characteristics","Proba-3 is an In-Orbit Demonstration (IOD) mission of the European Space Agency. The mission goal is to demonstrate precise formation flying. It consists of 2 spacecrafts viz. the Coronagraph Spacecraft (CSC) and the Occulter Spacecraft (OSC) and it will be launched together in a stacked configuration. Launch is planned from First Launch Pad (FLP), Satish Dhawan Space Centre (SDSC-SHAR), Sriharikota.",,,https://www.isro.gov.in/media_isro/pdf/PSLVC59/PSLV_C59_Brochure.pdf
126,GSAT-N2,"Nov 19, 2024",Falcon-9,GSO (Geosynchronous Orbit),Communication,,https://www.isro.gov.in/GSAT-N2_mission.html,"November 28, 2024
GSAT-N2 had reached its final Geostationary orbit and is slowly drifting to its final orbital slot of 68 deg E longitude in a weeks’ time. Weighing 4700 kg, GSAT-N2 is a high-throughput satellite (HTS) operating in the Ka-Ka band, with a capacity of 48 Gbps. It is designed to meet broadband and in-flight connectivity needs across India. The satellite features 32 spot beams, ensuring nationwide coverage, including the remote regions of the Andaman & Nicobar and Lakshadweep Islands. The satellite was developed by UR Rao Satellite Centre with communication payloads from Space Application Centre, ISRO for NSIL. GSAT-N2 satellite is the second demand-driven communication satellite mission undertaken by New Space India Limited (NSIL), a Government of India enterprise under the Department of Space (DoS).
Launch:
GSAT-N2 was successfully launched on November 19, 2024, aboard a Falcon-9 rocket from Cape Canaveral Space Force Station, Florida, USA. The launcher placed spacecraft into a Super Geo-synchronous Transfer Orbit (GTO) with a perigee of 250 km, apogee of 59,730 km and an orbital Inclination of 27.5 degree.
Satellite Control:
After separation from the launcher, ISRO's Master Control Facility (MCF) at Hassan took over the operations. Initial data confirmed good health and stability of the satellite. The satellite's orbit was raised from GTO to Geo-Stationary Orbit (GSO) using its onboard chemical propulsion system developed by LPSC, ISRO while being controlled by MCF. Later all the three reflectors of the antennae were deployed successfully. The final trimming of the orbit by the propulsion system was completed and the system was safely isolated. Based on the propulsion system performance, there is adequate fuel left in the spacecraft to ensure its full operational life.
Next Steps:
The satellite will undergo elaborate In-Orbit Testing (IOT) in the coming days along with the ground communication infrastructure to verify the operation and performance of the communication payloads. Operational services are expected to commence from 68° East longitude after successful testing.","After separation from the launcher, ISRO's Master Control Facility (MCF) at Hassan took over the operations. Initial data confirmed good health and stability of the satellite. The satellite's orbit was raised from GTO to Geo-Stationary Orbit (GSO) using its onboard chemical propulsion system developed by LPSC, ISRO while being controlled by MCF. Later all the three reflectors of the antennae were deployed successfully. The final trimming of the orbit by the propulsion system was completed and the system was safely isolated. Based on the propulsion system performance, there is adequate fuel left in the spacecraft to ensure its full operational life.
Next Steps:
The satellite will undergo elaborate In-Orbit Testing (IOT) in the coming days along with the ground communication infrastructure to verify the operation and performance of the communication payloads. Operational services are expected to commence from 68° East longitude after successful testing.",,,,
125,EOS-08,"Aug 16, 2024",SSLV-D3/EOS-08 Mission,,,,https://www.isro.gov.in/Mission_SSLV_D3.html,"August 08, 2024
The third developmental flight of SSLV is successfully launched on August 16, 2024.
This flight completes the SSLV Development Project and enables  operational missions by Indian industry and NSIL.",,,,,https://www.isro.gov.in/media_isro/pdf/Missions/SSLVD3/SSLV-D3_Mission_Brochure130824.pdf
124,INSAT-3DS,"Feb 17, 2024",GSLV-F14/INSAT-3DS Mission,GTO (Geosynchronous Transfer Orbit),Climate & Environment,,https://www.isro.gov.in/GSLV-F14_INSAT-3DS_mission.html,"February 8, 2024
The launch of the GSLV-F14/INSAT-3DS mission is accomplished on Saturday, February 17, 2024, at 17:30 Hrs. IST from SDSC-SHAR, Sriharikota. In its 16th mission, the GSLV aims at deploying the INSAT-3DS meteorological satellite into the Geosynchronous Transfer Orbit (GTO). Subsequent orbit-raising maneuvers will ensure that the satellite is positioned in a Geo-stationary Orbit.
Geosynchronous Satellite Launch Vehicle (GSLV) is a three-stage 51.7 m long launch vehicle having a liftoff mass of 420 tonnes. The first stage (GS1) comprises a solid propellant (S139) motor having 139-ton propellant and four earth-storable propellant stages (L40) strapons which carry 40 tons of liquid propellant in each. The second stage (GS2) is also an earth-storable propellant stage loaded with 40-ton propellant. The third stage (GS3) is a cryogenic stage with a 15-ton propellant loading of liquid oxygen (LOX) and liquid hydrogen (LH2). During the atmospheric regime, the Satellite is protected by Ogive payload fairing. GSLV can be used to launch a variety of spacecraft capable of performing communications, navigation, earth resource surveys, and any other proprietary mission.
INSAT-3DS Satellite is a follow-on mission of Third Generation Meteorological Satellite from Geostationary Orbit. GSLV-F14/INSAT-3DS mission is fully funded by the Ministry of Earth Sciences (MoES). It is designed for enhanced meteorological observations and monitoring of land and ocean surfaces for weather forecasting and disaster warning. The satellite will augment the Meteorological services along with the presently operational INSAT-3D and INSAT-3DR satellites. Indian Industries have significantly contributed to the making of the Satellite.
Various departments of the Ministry of Earth Sciences (MoES) such as the India Meteorology Department (IMD), National Centre for Medium-Range Weather Forecasting (NCMRWF), Indian Institute of Tropical Meteorology (IITM), National Institute of Ocean Technology (NIOT), Indian National Center for Ocean Information Services (INCOIS) and various other agencies and institutes will be using the INSAT-3DS Satellite data to provide improved weather forecasts and meteorological services.
Satellite salient features","INSAT-3DS Satellite is a follow-on mission of Third Generation Meteorological Satellite from Geostationary Orbit. GSLV-F14/INSAT-3DS mission is fully funded by the Ministry of Earth Sciences (MoES). It is designed for enhanced meteorological observations and monitoring of land and ocean surfaces for weather forecasting and disaster warning. The satellite will augment the Meteorological services along with the presently operational INSAT-3D and INSAT-3DR satellites. Indian Industries have significantly contributed to the making of the Satellite.
Various departments of the Ministry of Earth Sciences (MoES) such as the India Meteorology Department (IMD), National Centre for Medium-Range Weather Forecasting (NCMRWF), Indian Institute of Tropical Meteorology (IITM), National Institute of Ocean Technology (NIOT), Indian National Center for Ocean Information Services (INCOIS) and various other agencies and institutes will be using the INSAT-3DS Satellite data to provide improved weather forecasts and meteorological services.
Satellite salient features",,,,https://www.isro.gov.in/media_isro/pdf/Missions/GSLVF14/GSLVF14-INSAT-3DS_Brochure_English.pdf
123,XPoSat,"Jan 01, 2024",PSLV-C58/XPoSat Mission,Low-inclination circular orbit,X-ray Astronomy,,https://www.isro.gov.in/XPoSat.html,,,,,,https://www.isro.gov.in/media_isro/pdf/Missions/PSLV_C58/PSLV_C58_Brochure.pdf
122,Aditya-L1,"Sep 02, 2023",PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,,https://www.isro.gov.in/Aditya_L1-MissionDetails.html,"September 1, 2023
Aditya-L1 is a satellite dedicated to the comprehensive study of the Sun. It has 7 distinct payloads developed, all developed indigenously. Five by ISRO and two by Indian academic institutes in collaboration with ISRO.
Aditya in Sanskrit means the Sun. L1 here refers to Lagrange Point 1 of the Sun-Earth system. For common understanding, L1 is a location in space where the gravitational forces of two celestial bodies, such as the Sun and Earth, are in equilibrium. This allows an object placed there to remain relatively stable with respect to both celestial bodies.
Following its scheduled launch on September 2, 2023, Aditya-L1 stays Earth-bound orbits for 16 days, during which it undergoes 5 maneuvres to gain the necessary velocity for its journey. Subsequently, Aditya-L1 undergoes a Trans-Lagrangian1 insertion maneuvre, marking the beginning of its 110-day trajectory to the destination around the L1 Lagrange point. Upon arrival at the L1 point, another maneuvre binds Aditya-L1 to an orbit around L1, a balanced gravitational location between the Earth and the Sun. The satellite spends its whole mission life orbiting around L1 in an irregularly shaped orbit in a plane roughly perpendicular to the line joining the Earth and the Sun.
The strategic placement at the L1 Lagrange point ensures that Aditya-L1 can maintain a constant, uninterrupted view of the Sun. This location also allows the satellite to access solar radiation and magnetic storms before they are influenced by Earth's magnetic field and atmosphere. Additionally, the L1 point’s gravitational stability minimizes the need for frequent orbital maintenance efforts, optimizing the satellite's operational efficiency.
Quick Facts: Aditya-L1 will stay approximately 1.5 million km away from Earth, directed towards the Sun, which is about 1% of the Earth-Sun distance. The Sun is a giant sphere of gas and Aditya-L1 would study the outer atmosphere of the Sun. Aditya-L1 will neither land on the Sun nor approach the Sun any closer.
","The strategic placement at the L1 Lagrange point ensures that Aditya-L1 can maintain a constant, uninterrupted view of the Sun. This location also allows the satellite to access solar radiation and magnetic storms before they are influenced by Earth's magnetic field and atmosphere. Additionally, the L1 point’s gravitational stability minimizes the need for frequent orbital maintenance efforts, optimizing the satellite's operational efficiency.
Quick Facts: Aditya-L1 will stay approximately 1.5 million km away from Earth, directed towards the Sun, which is about 1% of the Earth-Sun distance. The Sun is a giant sphere of gas and Aditya-L1 would study the outer atmosphere of the Sun. Aditya-L1 will neither land on the Sun nor approach the Sun any closer.
",,,,https://www.isro.gov.in/media_isro/pdf/AdityaL1_Mission_Brochure.pdf
